,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Stimulator of TAR RNA binding (SRB) mRNA,U38846_at,1.384213988,0.973984414,1.197352455,1.672334418,2.005631739,1.128130166,1.484598683,0.968138557,1.714268796,1.345672014,1.361581209,0.975154634,1.476760121,1.6465687,1.688034873,1.718247721,1.464107102,1.849844881,1.702597043,1.840353607,1.530433349,0.515450864,1.219665642,1.581617937,1.11670323,1.488062011,1.213925724,1.078172191,1.098365273,0.891401732,0.99682733,0.633013808,0.058352403,0.902910265,0.896103139,0.449233854,0.624495979,0.887054942,1.002683397,0.441266255,1.805112053,1.023261282,1.293714044,1.655582485,1.933133944,1.64969561,1.761914574,1.745556703,1.131958852,0.956406553,0.417110521,0.910956107,0.503003567,1.590002365,1.730507109,1.208927605,1.531748738,0.352674598,1.16720254,1.774168475,1.003214311,0.769779296,0.751909947,0.401225606,1.077514296,1.647687789,0.84012503,1.934764842,1.652877269,1.609115555,0.905720034,0.751030374
1598,TAR RNA loop binding protein (TRP-185) mRNA,U38847_at,-0.697122929,-0.297773068,-0.663723528,0.0870374,0.264128826,-0.930774281,0.834022288,0.481655094,-0.685783864,-0.50153691,-0.704140115,-0.365408764,-0.386650402,0.390238057,0.244347046,-0.192805396,0.460866702,-0.013325075,0.315687057,0.967402626,0.923399069,-0.415189686,-0.813063918,1.059899153,0.179724092,-0.506338808,0.003448169,-0.419227999,-1.063445157,-0.362443018,-0.723167784,0.211478288,-1.160888734,0.880035911,-0.084646526,-0.915359241,-1.31181697,-0.099665034,-0.541232386,-0.234639865,1.076528516,-0.34663544,0.057272749,-0.635300703,-0.117809139,0.079146574,-0.324204153,-0.259050069,-0.237149766,-0.197259113,-0.584610448,-0.7179612,0.068536649,-0.3332612,-0.78253857,-0.09207812,-0.139147235,-0.587040639,-1.098814617,-0.239477713,-0.150433766,-0.102831418,-0.670285222,1.690539626,-1.143157921,-0.610187219,-0.339758622,0.952564192,0.323254889,-1.041303633,-0.333941535,-1.108133889
1599,Zinc-finger protein C2H2-150 mRNA,U38864_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,0.615157788,-1.422468728,-1.041303633,-1.21065485,-1.29024248
1600,"PMS8 mRNA (yeast mismatch repair gene PMS1 homologue), partial cds (C-terminal region)",U38980_at,1.338232592,1.106746093,1.374157188,1.561350256,0.931880833,1.344580335,1.585694271,1.557611111,1.136828861,1.388698747,1.251267806,1.293028582,0.82358161,1.150706084,0.956876793,1.338189951,0.987642315,1.271878396,1.357457367,0.7986346,0.535216505,1.445165088,1.600894938,1.073483841,1.359048777,1.160598137,1.452830564,1.361021084,1.00952876,1.021268437,1.411618677,1.400382712,1.495779953,1.306944878,1.346845968,1.180296841,1.373748003,1.605051932,1.147935958,1.315323851,0.571531744,1.192827439,1.106786663,1.269186,1.213513144,1.325512321,1.158849952,0.873986278,1.449789752,1.388362529,1.442813688,1.211698775,1.186890172,1.139437319,1.286730701,1.477018582,1.347018468,1.246875563,1.386414757,1.307783574,1.071512174,1.405621797,1.256923665,1.502597522,1.174115165,0.815482364,1.025710205,0.50890291,0.85195553,1.440472207,1.185443285,0.952819668
1601,E2 ubiquitin conjugating enzyme UbcH5B (UBCH5B) mRNA,U39317_at,0.884819239,0.275028819,0.570448759,0.574278417,0.885691745,0.661165276,0.70936405,0.404477358,0.818146929,0.678804848,0.881818118,0.536879419,0.908371519,0.375280068,0.961264456,0.690950507,-0.381186757,1.141435615,0.995033549,1.005778572,1.954116567,1.145098847,0.446325746,-0.105912826,0.557264752,0.4526057,-0.554378633,0.525908392,0.715573772,0.885369691,0.859209,0.158508056,0.660063098,0.071598939,0.108200212,0.658388705,0.82617354,0.998830963,0.273735273,-1.254586207,0.554812166,0.524916187,0.383460268,0.846593478,0.513235346,0.782074201,0.39156113,0.620480684,-0.682702302,0.873985884,0.349984191,1.156707976,0.951883476,0.25704456,0.272466864,0.246861272,-0.270769209,-0.135181071,-0.266299393,-0.319418451,-0.913544365,0.561424525,0.227336264,0.117402587,0.436238531,0.562631222,1.236963105,0.991781042,0.90831127,0.11900331,0.775570397,0.718928778
1602,AF-4 mRNA,U39318_at,0.78521336,1.323321108,1.279335469,1.210676421,1.167555845,1.161339357,1.277582928,1.200640059,1.214977726,1.321633126,1.52115556,1.08482423,1.024134352,1.088211442,1.07593691,1.24079362,0.93775496,1.051449131,0.846127527,0.944936675,0.924441231,1.669281081,1.281195112,0.962231639,1.24081668,0.689894587,0.850234509,1.34157389,1.538493563,1.181357421,1.059698449,1.366159288,1.505204377,1.094511437,0.801832844,1.110553574,1.700962958,1.702269995,0.979556962,0.561528478,0.794424987,1.668236312,1.150530206,0.744696823,0.961605321,1.044169595,0.637823804,0.960903565,0.832358227,1.069823133,1.846087831,0.724018089,1.170721786,0.934675236,0.86266953,0.990575084,1.090431931,1.017413364,0.389675823,0.932729001,1.272242631,0.963424864,0.654817308,0.917476266,1.305894166,1.631739428,1.740512886,1.057725154,1.586719532,1.027394472,1.997078989,1.595089684
1603,NOF1 mRNA,U39400_at,0.582908118,-0.107163722,0.534839676,0.527059868,0.297209623,0.645140635,0.238481401,0.470854482,0.261872778,0.480013893,0.646970413,0.198721866,-0.126415483,0.564103388,0.170208291,-0.127685825,-0.349318577,-0.921932113,0.051573224,0.312028356,0.568170959,-0.211119102,0.4701374,0.417936948,-0.730064909,-0.131580932,0.044939261,0.197404823,-0.138925882,-0.140108738,0.220312826,0.107000982,0.212384322,0.104206329,0.358840572,-1.365587283,0.449249734,-0.621116647,0.306463211,0.431603104,-0.130102297,0.060981869,0.180454327,-0.532903814,0.325295455,0.013722409,-0.008290462,0.113634038,0.624403328,0.281767021,0.343328236,-0.172616269,0.611411991,-0.348565869,0.191264756,-0.210250112,0.514406428,0.052312611,-0.742504258,0.241298163,-0.615469566,0.414330417,0.509527871,0.457194007,0.168345738,-0.194384738,-0.077196975,0.191119937,0.365273069,0.202606096,0.326326913,-0.007032243
1604,Platelet alpha SNAP mRNA,U39412_at,-0.169542805,0.396126544,0.322816751,-0.842297879,-0.523503286,0.033936941,-0.32614086,0.433885982,-0.813481439,-0.591765427,-0.293046149,-0.56093723,-1.318316435,0.175290933,-0.479235809,-1.357386275,-1.510219388,-0.761170112,-0.240885063,-0.009393197,-1.045769178,0.090729432,-0.065483067,-0.028048144,-0.023616526,-1.048940395,-1.216362346,-0.22535837,0.306294435,-0.759944768,-0.028566498,0.179485726,0.760926565,-0.855954047,0.539026488,0.281292132,1.12851627,0.962858435,0.089708556,0.099945645,-0.664120782,0.850633581,0.399131321,-0.280379445,-0.226774708,-0.308586916,-0.164423995,-1.04626283,-0.976496771,-0.039072392,-0.008315191,-0.908240073,0.18207221,-1.3272715,-0.271129122,-0.160026844,-1.058009908,0.337675663,-0.200988658,-0.581652116,-0.395569731,0.122024461,-0.298714418,-1.481627658,-0.437720498,-1.018678067,0.113329348,-1.039592345,-0.513895279,-1.041303633,-1.21065485,-1.29024248
1605,Salivary peroxidase mRNA,U39573_at,-1.063762402,0.12787683,-1.423498758,-0.896147141,-0.825098369,0.386977886,-1.33742052,-1.113378066,-1.399572283,-1.185748659,-0.769937073,-1.01377406,-0.631913354,-1.356060601,-0.529508617,-1.302844133,-1.510219388,-0.997814891,-0.234058857,-0.49832293,-1.045769178,-0.494426466,-1.187118125,-1.434645277,-0.013665361,-1.24631406,-0.94461458,-1.385727619,-0.917847895,0.73940006,-1.228487646,-0.835817357,-0.336270905,-0.696548686,-0.307281467,-0.237860007,-0.529170941,-1.299149559,-1.225212914,0.124845838,-1.145432169,-0.189331581,-0.169010795,-1.072448275,-1.06247623,-0.426780447,-0.493178391,-1.431552747,-1.304079068,-0.228396899,-1.227021204,0.085159099,-0.673914883,-0.744759972,-1.156389118,-1.292206597,-1.058009908,-1.224099054,0.501070581,-0.710708084,-1.216220492,-0.225542622,-0.794031647,-0.849921265,-1.143157921,-1.018678067,-1.183311149,-0.608568001,-0.658886348,-0.43987196,-0.703930976,-0.969109198
1606,"SLC18A1 Solute carrier family 18 (vesicular monoamine), member 1",U39905_at,-0.09409124,-0.238584602,0.313484944,0.147877306,-0.382874382,-0.023436778,0.051174448,0.342608058,-0.044898489,-0.14386162,-0.503916283,-0.28980331,-0.604076437,-0.268664955,-0.667512683,-0.10285567,0.021648933,-0.104969432,-0.338194701,-0.520772684,-0.245936488,0.25750659,0.149775036,-0.437806988,-0.033676746,-0.08642505,0.617887776,0.166228572,-0.941936235,-0.617566586,0.209921256,0.069243887,0.360425098,-0.005841477,0.264625334,-0.137474302,0.028009982,-0.078728886,0.183464166,0.336342449,-0.518639905,-0.020318065,0.034654815,0.206925642,0.550881862,-1.04647401,-1.270905826,-0.286341514,0.317521775,0.024547592,-0.37289084,0.014727773,0.080883018,-0.227380071,-0.077465919,0.376935736,-0.239495071,-0.178338343,-0.863308479,-0.077628842,0.106287227,-0.430968062,-0.104746034,0.320548899,-0.056936793,-0.325816176,-0.709818478,-0.3388662,-0.465531116,-0.116413261,-0.36428988,-0.19684243
1607,Integrin-linked kinase (ILK) mRNA,U40282_at,0.634040985,-0.088108298,0.128581392,0.632988078,0.657573807,-0.269952138,0.387000467,0.446378408,0.410255864,-0.138080248,-0.005898909,0.21769386,0.355680196,0.538093919,0.444216016,0.538579029,0.45212199,0.466336117,-0.052039267,0.334331245,-0.552641045,-0.141815934,0.439411821,0.400329565,0.091428603,0.458349329,0.483727964,0.338835685,0.11145738,0.404573968,0.760183076,0.443806028,0.219703239,0.576250795,0.209452823,0.340773594,0.312860493,0.138675887,-0.036759422,0.39362464,0.219177618,0.091955541,0.153942375,0.344184658,0.397223664,0.214823021,0.288813764,0.263066882,0.403522646,0.348547305,0.165146461,0.41807491,0.138696319,0.595510636,0.315988912,0.316883282,0.480771015,0.342702554,-0.085849809,0.227292033,0.299124956,0.836575782,0.957298721,0.640173315,0.402415402,-0.16323601,-0.150703177,0.862633679,0.477440175,-0.376169614,0.193020397,0.008622922
1608,CDK inhibitor p19INK4d mRNA,U40343_at,0.59795538,0.496045563,1.008870417,1.032546496,0.75484252,-0.683852586,0.546305362,-0.122902765,0.906325866,0.991873243,0.775821342,0.60745442,0.667322475,0.402296737,1.115069393,0.582011445,0.23320925,0.363753446,0.550750602,0.528757879,0.568170959,2.223149629,0.572006591,0.986791716,0.351092661,0.550861454,0.471746975,0.30006666,0.441958255,0.765007778,0.072625607,0.426050728,0.193806548,0.171355059,-0.204534282,1.138263352,0.330524407,0.713956898,0.089708556,0.074376503,0.891408467,0.975165325,0.757998813,-0.098293702,0.662097862,0.664073151,0.151532649,-0.19436095,0.434271959,0.345806817,0.326474622,0.501006835,0.132939493,-0.666988124,0.607834431,0.847935895,-0.516522473,0.320717967,0.738405393,-0.039561311,-0.012946113,0.494370384,-0.089934897,0.173112939,-0.901369095,-0.585928014,0.817986174,1.169933241,0.882798997,0.71375462,0.443124804,0.756926134
1609,Spermidine/spermine N1-acetyltransferase (SSAT) gene,U40369_rna1_at,-0.219479651,0.826225453,-0.161686159,-0.874228013,-0.215934018,-0.451739804,-1.081858725,-0.782091251,-0.110756701,0.114458967,0.155036787,0.540725632,-0.175554632,-0.265893794,-0.66348113,-0.322819527,-0.185184843,-0.779847337,-0.052039267,-0.354757719,0.16092215,-0.539250282,-0.615757755,-0.519953339,1.113809655,0.167763684,-1.216362346,1.112484407,0.735778252,1.14856341,-0.268089511,-0.150428652,1.659992618,0.520940153,0.164746578,0.721877498,1.482818539,0.698627905,0.036668969,-0.382449524,-1.145432169,0.752007157,-0.48503747,-0.993343556,0.264189978,-0.408324939,-0.199541303,-0.011473947,-0.176251215,0.654881582,0.779358918,1.627882505,0.624682909,-0.069146461,-1.156389118,-0.496411004,-0.31721744,0.673185533,-0.296875769,-0.549285149,0.962637623,0.707436585,1.167159416,0.516928773,1.247192155,-0.785134322,0.640929386,0.394055306,0.102837623,-0.564199903,0.35555976,0.508683379
1610,Serotonin N-acetyltransferase gene,U40391_rna1_at,1.323569157,0.914262126,1.330587335,1.41643077,0.717352393,1.312064202,1.531041713,1.58705706,1.042240899,1.206813159,0.243692506,1.42967119,0.918852797,0.215360111,0.771330291,0.829226294,0.916935401,0.530673118,0.97432395,0.571981681,0.665975157,1.115818058,1.361038088,0.331827147,0.939605012,0.993843028,1.609633938,1.068950483,0.454674306,0.827704378,1.312128422,1.295570924,1.460113219,1.3188239,1.360128985,0.665607728,1.38907269,1.61727621,0.676667253,1.332439816,0.797982357,0.877297018,1.092844007,0.980442239,1.009210147,1.134353534,0.395100873,0.906663271,1.412323878,0.384729365,1.385984645,0.932903404,0.881135111,1.012327406,1.361991584,1.169774914,0.838177568,0.294679936,0.49613803,1.112397235,1.385333137,0.924303944,0.999741134,1.177459823,1.167380103,0.650858141,0.564882435,0.526781261,0.444750957,1.405328005,0.7881717,1.125309932
1611,Pre-pro-megakaryocyte potentiating factor,U40434_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.143878869,-1.179975696,-1.207606614,-0.973358147,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-0.764373497,1.531652799,-0.884191911,-0.802695818,-1.31181697,-0.49927329,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-0.750571335,-1.06247623,-0.883429234,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-0.266004852,-1.156389118,-1.292206597,-1.058009908,-0.427163457,-1.098814617,-1.110465113,-1.216220492,-1.31109581,2.031020249,-0.361982715,0.275163048,-1.018678067,-1.183311149,-1.362381334,-1.061304876,-1.041303633,-1.21065485,-1.29024248
1612,Ikaros/LyF-1 homolog (hIk-1) mRNA,U40462_at,0.541520521,-0.816987567,-0.151606491,0.399227461,0.810458064,-0.204983161,-0.031887068,-0.072921007,0.285214272,-1.185748659,0.204000806,-0.887531581,-0.307723033,0.320180948,1.193240623,-0.56160935,-0.589099573,-0.405033811,0.453750252,0.159506609,-1.045769178,-1.111595482,-0.720955395,0.569283398,-0.88243693,0.979355226,-0.572765645,-1.164484989,-0.849123944,-1.272406126,-0.796091797,0.02629095,-0.489415786,-1.023004949,-1.214385383,-1.147777107,-0.878920761,-0.947595913,-0.665236884,0.532857268,0.645380348,-1.017414451,0.191284275,0.283372647,-0.718821082,-0.28821127,-0.421222265,-0.6694162,-0.881154242,-0.449543495,-0.82970295,-0.990861792,-0.695975742,-0.342412996,-0.802547093,-0.496411004,-0.516522473,-1.224099054,-0.807661555,-0.809904569,-1.216220492,0.206641106,-0.718432775,-0.41710088,-1.143157921,-1.018678067,-0.034739092,0.464000211,-0.056944987,-1.041303633,-0.391668927,-1.049968
1613,NAD(P) transhydrogenase,U40490_at,0.04028467,0.273645859,0.073151967,0.182883802,-0.068160874,0.806651195,0.096861597,0.126456338,0.482609228,-0.523269757,0.500146417,-0.52546788,-0.01136963,-0.268664955,0.023976338,0.564158865,0.936860463,0.466336117,0.783073544,-0.066821117,-0.345520201,0.668162079,-0.388285631,-0.547860655,0.315487636,-0.647778488,-0.016737708,-0.371734671,-0.827302962,-0.150655277,-0.047004773,-0.104363064,0.525498282,-0.568974478,-0.307281467,0.197242432,0.48124396,-0.415143738,-0.549860463,-0.23790509,-0.142915485,-0.39764231,-1.106935429,-0.431612501,-0.433034733,0.539764909,0.494131171,-0.094390257,0.780201198,-0.244390453,-0.351323096,-0.086017364,-0.385736661,-0.235519546,-0.278954801,-0.270023856,0.580394557,-0.941495704,0.596050384,0.56782176,-0.329421593,-0.847854152,-0.403040164,0.117402587,-0.238097161,0.254215701,-0.532616186,0.122156792,-0.192346814,-1.041303633,0.476947225,-1.228280358
1614,GB DEF = Tyrosyl-tRNA synthetase mRNA,U40714_at,-0.153488547,-0.592693084,-0.548742837,-0.165798799,-0.01058149,-0.293821746,-0.113401039,-0.368513552,-0.105503186,-0.763489584,0.250418837,-0.52546788,-0.344843476,0.053119993,-0.231401237,-0.262796279,-1.350878428,-0.327563703,-0.459487924,-1.252608351,-0.579465599,-0.397479131,-0.470178904,0.125904041,-0.402102496,-1.24631406,-0.572765645,0.21710291,-0.718876081,-0.230848102,0.148613295,-0.511626395,0.305142046,0.039796891,0.003165153,0.026708643,0.086465307,0.421119167,-0.163608533,-0.491231326,-0.46713538,-1.024411996,-1.124204025,-0.882424657,-1.06247623,-0.088696751,-0.54737,-0.47392313,-0.785713979,0.236318742,-0.557544331,-0.990861792,0.187515677,-0.071418165,-0.464557587,-0.226490078,-0.179740504,-1.056530773,-1.098814617,-0.205578267,-0.657976253,-1.065996527,-0.994488678,-1.059946242,-0.654143223,-0.585928014,-0.311235054,-0.678310624,-0.751629514,-0.268705943,-0.11204615,-0.683349585
1615,"Putative voltage-gated potassium channel (KVLQT1) mRNA, partial cds",U40990_at,0.473398344,-0.77921567,0.533930457,-0.842297879,-0.90385494,0.275030879,-0.047622604,0.009382957,0.014656297,0.225339939,0.202234403,0.292539456,-0.631913354,0.104335106,-1.297100591,-0.640876271,-0.858775993,0.159024076,-0.220552032,-1.534413371,-0.187488327,0.599468895,0.099102024,-0.042284988,-0.779997902,-0.229161609,-0.297559723,-0.201134549,-1.063445157,-1.272406126,0.45224163,0.525604076,0.631364441,0.342904445,0.423896222,0.046640109,0.242471444,-1.299149559,-0.111264758,0.310959286,-0.647410224,-1.24638365,0.044774397,-0.048831197,-0.03505888,0.29273771,-0.256430041,-0.630745484,0.114669918,0.319335935,0.272176034,0.090155493,-0.117830107,0.191370681,0.097324732,0.531663556,0.14010322,0.705276409,-0.316512411,-1.110465113,-0.793425199,0.172775305,0.415872607,-0.521347236,0.120490455,0.302249223,-0.090880589,-1.362381334,-0.229738751,0.370265727,0.339227752,-0.411664844
1616,Retinal protein (HRG4) mRNA,U40998_at,0.457283117,0.379120797,0.203610299,0.793069409,0.098412575,0.265682596,1.348406157,0.881439856,0.62713714,0.379681172,0.378195904,0.881489867,-0.296609116,0.510139792,0.264025203,0.134017332,-0.655545139,0.626238993,0.408197257,-0.410336043,0.399300873,1.050621684,0.815807422,0.603542084,0.618914941,0.072617889,-0.162849522,0.081443302,0.16475338,0.885974882,0.717050302,0.301055442,0.564433308,0.757001209,1.133572191,0.651837474,0.981669739,0.655069821,0.417802299,1.489072926,0.586477147,-1.24638365,0.180454327,0.401217014,-0.433034733,0.65355214,-0.510909753,0.14649524,-0.353097863,0.605266796,0.62705557,0.792020307,0.666473943,0.043777213,0.373815833,0.57727243,0.735964559,0.074951219,0.316572625,0.708387486,-1.216220492,0.924303944,0.532991355,0.939662354,0.234736531,0.350189999,0.049415648,0.199361105,0.066741751,1.075067405,0.486392413,0.373273242
1617,PRELP Proline arginine-rich end leucine-rich repeat protein,U41344_at,-1.414095164,-0.924690538,-1.077421045,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-0.155535665,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-0.338199028,-0.271558046,-0.302698329,-0.982148623,-1.207606614,-1.534413371,-1.045769178,-0.40187554,-1.187118125,-0.780165569,-0.67759429,-0.38740935,-1.216362346,0.07091997,-1.063445157,-1.272406126,-1.228487646,-1.404189209,0.341692686,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-0.952041098,-1.254586207,-1.145432169,-1.24638365,-1.196632989,0.045471087,-0.607726134,-1.120330201,-1.251594343,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,0.440873278,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-0.534351272,-1.422468728,0.01485743,-1.21065485,-1.29024248
